BANK_ID,AGE,MARITAL_STATUS,GENDER,EDUCATION,STATE,OCCUPATION,OCC_DESC
15228,39,Married,Male,Primary,Perak Darul Ridzuan,"Craft,Electrical/Electronic/Related Trades Workers - Electrical Mechanics/Fitters",NON-EXECUTIVE
15259,39,Single,Male,No Formal Education / Unknown,Johor Darul Takzim,"Plant/Machine,  Drivers/Mobile Plant Operators/Related Workers - Car/Van/Motorcycle Drivers",NON-EXECUTIVE
16275,37,Single,Male,No Formal Education / Unknown,Sarawak,Plant/Machine Operators/Assemblers  - Stationary Plant/Machine Operators,NON-EXECUTIVE
16397,37,Married,Female,,Selangor Darul Ehsan,"Professionals, Administration/Policy Analyst/Market/Business Research/Admin Exec/Registrar College/U",EXECUTIVE AND ABOVE
16466,37,Single,Female,College/ University,Selangor Darul Ehsan,"Professionals, Business/Administration/Finance - Accountants/Auditor/Tax Colsultant/Liquidator/Chart",OTHERS
16525,36,Married,Female,,Selangor Darul Ehsan,"Associate Professionals, Business/Admin, Financial/Mathematical - Accounting Officer/Executive",PROFESSIONAL
17239,35,Married,Female,Bachelor,Selangor Darul Ehsan,"Professionals, Administration/Policy Analyst/Market/Business Research/Admin Exec/Registrar College/U",EXECUTIVE AND ABOVE
17402,35,Married,Female,,WP - Kuala Lumpur,"Associate Professionals/Technician/Asst/Supervisor/Executive, Health - Dental and Therapists Nurse/e",OTHERS
17446,35,Single,Female,No Formal Education / Unknown,Pahang Darul Makmur,Outside Labour Force - Student,STUDENT
17649,35,Single,Male,No Formal Education / Unknown,Selangor Darul Ehsan,"Associate Professionals/Technician/Asst/Supervisor/Executive, Science/Engineering - Ship/Aircraft/Tr",OTHERS
17789,35,Single,Female,Professional,WP - Kuala Lumpur,"Professionals, Administration/Policy Analyst/Market/Business Research/Admin Exec/Registrar College/U",EXECUTIVE AND ABOVE
17995,34,Single,Male,No Formal Education / Unknown,Sarawak,"Associate Professionals/Technician/Asst/Supervisor/Executive, Science/Engineering - Physical/Enginee",EXECUTIVE AND ABOVE
18132,34,Married,Female,No Formal Education / Unknown,Selangor Darul Ehsan,"Professionals, Administration/Policy Analyst/Market/Business Research/Admin Exec/Registrar College/U",EXECUTIVE AND ABOVE
18909,33,Single,Male,College/ University,WP - Kuala Lumpur,"Professionals, Ship/Ferry/Vessel Deck Officers - Ship/Ferry Deck Officers/Hovercraft Pilots/Captain/",OTHERS
19038,33,Single,Male,No Formal Education / Unknown,Perak Darul Ridzuan,"Associate Professionals/Technician/Asst/Supervisor/Executive, Science/Engineering - Physical/Enginee",EXECUTIVE AND ABOVE
19810,32,Single,Male,,WP - Kuala Lumpur,"Elementary, Transport/Storage - Other Labourers/Workers",NON-EXECUTIVE
19945,32,Single,Male,No Formal Education / Unknown,Selangor Darul Ehsan,Outside Labour Force - Student,STUDENT
20165,32,Single,Male,No Formal Education / Unknown,Selangor Darul Ehsan,Outside Labour Force - Student,STUDENT
20181,32,Married,Male,College/ University,Pahang Darul Makmur,"Associate Professionals, Administrative/Specialized - Administrative Officer/Executive",MANAGER OR SUPERVISOR
20205,32,Single,Female,No Formal Education / Unknown,Selangor Darul Ehsan,Service and Sales Workers - Other Personal Services/Astrologer/Palmist/Fortune-teller/Valet/Undertak,OTHERS
20354,32,Single,Female,No Formal Education / Unknown,WP - Kuala Lumpur,"Clerical Support Workers, Office - General Office Clerks",NON-EXECUTIVE
20526,32,Single,Male,,Johor Darul Takzim,"Elementary, Transport/Storage - Other Labourers/Workers",NON-EXECUTIVE
20634,31,Single,Male,No Formal Education / Unknown,Johor Darul Takzim,Plant/Machine Operators/Assemblers  - Stationary Plant/Machine Operators,NON-EXECUTIVE
22050,30,Single,Male,No Formal Education / Unknown,Pahang Darul Makmur,Outside Labour Force - Student,STUDENT
22818,29,Married,Male,,WP - Kuala Lumpur,"Managers, Administrative/Commercial Managers/Account/Credit/Finance/HR/Insurance/Treasury/Audit/IR/O",MANAGER OR SUPERVISOR
22904,29,Single,Male,Secondary,Pahang Darul Makmur,"Plant/Machine,  Drivers/Mobile Plant Operators/Related Workers - Car/Van/Motorcycle Drivers",NON-EXECUTIVE
22952,29,Married,Male,,Kedah Darul Aman,"Associate Professionals/Technician/Asst/Supervisor/Executive, Science/Engineering - Physical/Enginee",EXECUTIVE AND ABOVE
23427,29,Married,Female,No Formal Education / Unknown,Pulau Pinang,"Associate Professionals, Business/Admin, Sale/Purchase Agents/Brokers - Commercial Sales",SELF EMPLOYED
23773,29,Single,Male,College/ University,Johor Darul Takzim,"Associate Professionals/Technician/Asst/Supervisor/Executive, Science/Engineering - Physical/Enginee",EXECUTIVE AND ABOVE
23939,28,Married,Male,,Selangor Darul Ehsan,"Professionals, Religious - Mufti/Imam/Kadi/Priest",OTHERS
24163,28,Single,Male,No Formal Education / Unknown,Selangor Darul Ehsan,"Managers, Administrative/Commercial Managers/Account/Credit/Finance/HR/Insurance/Treasury/Audit/IR/O",MANAGER OR SUPERVISOR
25164,27,Single,Male,Secondary,Terengganu Darul Iman,"Associate Professionals/Technician/Asst/Supervisor/Executive, Science/Engineering - Process Control/",OTHERS
25249,27,Single,Male,No Formal Education / Unknown,Johor Darul Takzim,"Associate Professionals/Technician/Asst/Supervisor/Executive, Science/Engineering - Physical/Enginee",EXECUTIVE AND ABOVE
25328,27,Single,Male,Bachelor,Negeri Sembilan Darul Khusus,"Associate Professionals/Technician/Asst/Supervisor/Executive, Science/Engineering - Physical/Enginee",EXECUTIVE AND ABOVE
26149,27,Married,Male,Secondary,Kedah Darul Aman,"Plant/Machine,  Drivers/Mobile Plant Operators/Related Workers - Car/Van/Motorcycle Drivers",NON-EXECUTIVE
26350,26,Single,Male,College/ University,Selangor Darul Ehsan,Sales Workers - Stall/Market/Kiosk Salesperson/promoter/Florist/,NON-EXECUTIVE
26523,26,Single,Male,College/ University,Pulau Pinang,"Associate Professionals/Technician/Asst/Supervisor/Executive, Science/Engineering - Mining/Manufactu",OTHERS
26911,26,Married,Male,College/ University,Johor Darul Takzim,"Associate Professionals, Administrative/Specialized - Administrative Officer/Executive",MANAGER OR SUPERVISOR
26955,26,Single,Male,No Formal Education / Unknown,Selangor Darul Ehsan,Plant/Machine Operators/Assemblers  - Stationary Plant/Machine Operators,NON-EXECUTIVE
27026,26,Single,Female,No Formal Education / Unknown,Johor Darul Takzim,"Professionals, Sales/Marketing/Public Relations/Corporate Comm Exec/Publicity Agent/Sales Representa",EXECUTIVE AND ABOVE
27337,26,Single,Male,,Perak Darul Ridzuan,"Associate Professionals, Regulatory Government - Others (Fireman/Prison/Maritime Asst. Superintenden",OTHERS
27695,25,Single,Male,Secondary,Johor Darul Takzim,Protective Services Workers - Security Guards (Departmental/Office/Industrial Guard/Concierge),NON-EXECUTIVE
27731,25,Single,Male,No Formal Education / Unknown,Negeri Sembilan Darul Khusus,"Associate Professionals/Technician/Asst/Supervisor/Executive, Science/Engineering - Physical/Enginee",EXECUTIVE AND ABOVE
28126,25,Single,Male,No Formal Education / Unknown,Selangor Darul Ehsan,"Clerical Support Workers, Office - General Office Clerks",NON-EXECUTIVE
28248,25,Single,Male,No Formal Education / Unknown,Selangor Darul Ehsan,"Craft,Metal/Machinery/Mechanics & Repairers/Related Trades Workers - Others",OTHERS
28333,24,Single,Male,,Selangor Darul Ehsan,"Clerical Support Workers, Office - General Office Clerks",NON-EXECUTIVE
29202,22,Single,Male,,Terengganu Darul Iman,"Managers, Administrative/Commercial Managers/Account/Credit/Finance/HR/Insurance/Treasury/Audit/IR/O",MANAGER OR SUPERVISOR
10129,55,Single,Male,No Formal Education / Unknown,Johor Darul Takzim,"Associate Professionals, Administrative/Specialized - Administrative Officer/Executive",MANAGER OR SUPERVISOR
10199,55,Married,Male,Secondary,Negeri Sembilan Darul Khusus,"Associate Professionals/Technician/Asst/Supervisor/Executive, Science/Engineering - Mining/Manufactu",OTHERS
10334,54,Single,Male,No Formal Education / Unknown,Selangor Darul Ehsan,"Associate Professionals, Administrative/Specialized - Administrative Officer/Executive",MANAGER OR SUPERVISOR
10546,52,Married,Male,Secondary,Pahang Darul Makmur,"Associate Professionals/Technician/Asst/Supervisor/Executive, Science/Engineering - Life Science/bio",OTHERS
10761,51,Married,Male,Bachelor,Pahang Darul Makmur,"Managers, Administrative/Commercial Managers/Account/Credit/Finance/HR/Insurance/Treasury/Audit/IR/O",MANAGER OR SUPERVISOR
10820,51,Married,Male,No Formal Education / Unknown,Johor Darul Takzim,"Managers, Managing Directors/Chief Executives/ Chairman/President/Director Enterprise/Organization",CEO/DIRECTOR
11315,48,Single,Male,No Formal Education / Unknown,Selangor Darul Ehsan,"Associate Professionals, Administrative/Specialized - Administrative Officer/Executive",MANAGER OR SUPERVISOR
11353,48,Single,Male,No Formal Education / Unknown,Selangor Darul Ehsan,"Professionals, Engineer (Incl. Electrotechnology) Industrial/Production/Environmental/Mechanical/Che",PROFESSIONAL
11534,48,Single,Male,No Formal Education / Unknown,Selangor Darul Ehsan,"Professionals, Architects/Planners/Surveyors/Designers - Building/Interior",PROFESSIONAL
12217,45,Married,Male,,Sabah,"Managers, Administrative/Commercial Managers/Account/Credit/Finance/HR/Insurance/Treasury/Audit/IR/O",MANAGER OR SUPERVISOR
12298,45,Single,Female,No Formal Education / Unknown,Sabah,"Associate Professionals, Administrative/Specialized - Others",OTHERS
12614,44,Married,Male,College/ University,Selangor Darul Ehsan,"Associate Professionals/Technician/Asst/Supervisor/Executive, Science/Engineering - Mining/Manufactu",OTHERS
12677,44,Single,Male,No Formal Education / Unknown,Johor Darul Takzim,"Associate Professionals, Administrative/Specialized - Others",OTHERS
12712,44,Married,Male,No Formal Education / Unknown,WP - Kuala Lumpur,"Managers, Managing Directors/Chief Executives/ Chairman/President/Director Enterprise/Organization",CEO/DIRECTOR
12934,43,Divorced,Male,No Formal Education / Unknown,Selangor Darul Ehsan,"Professionals, Engineer (Incl. Electrotechnology) Industrial/Production/Environmental/Mechanical/Che",PROFESSIONAL
13007,43,Married,Female,No Formal Education / Unknown,Selangor Darul Ehsan,"Clerical Support Workers, Office - General Office Clerks",NON-EXECUTIVE
13251,43,Married,Female,,Selangor Darul Ehsan,"Professionals, Administration/Policy Analyst/Market/Business Research/Admin Exec/Registrar College/U",EXECUTIVE AND ABOVE
13673,42,Married,Male,No Formal Education / Unknown,Johor Darul Takzim,"Associate Professionals/Technician/Asst/Supervisor/Executive, Science/Engineering - Physical/Enginee",EXECUTIVE AND ABOVE
13700,42,Divorced,Female,No Formal Education / Unknown,Selangor Darul Ehsan,Plant/Machine Operators/Assemblers  - Stationary Plant/Machine Operators,NON-EXECUTIVE
14227,41,Married,Female,No Formal Education / Unknown,Pulau Pinang,Plant/Machine Operators/Assemblers  - Stationary Plant/Machine Operators,NON-EXECUTIVE
