BANK_ID,MOBILE,TABLET,samsung,OPPO,HUAWEI,SONY,XIAOMI,LENOVO,ASUS,VIVO,ANDROID,IPHONE_IOS11
10307,0,0,0,0,0,0,0,0,0,0,1,0
10309,1,0,0,0,0,0,0,0,1,0,1,1
10310,0,1,0,0,0,0,0,0,0,0,1,0
10311,0,0,0,0,0,0,0,0,0,0,0,0
10314,1,0,0,1,0,0,0,0,0,0,1,0
10315,1,0,0,0,0,0,0,0,1,0,1,0
10318,1,1,1,0,0,0,0,0,0,0,1,0
10319,0,0,0,0,0,0,0,0,0,0,0,0
10321,1,0,0,0,0,0,0,0,0,0,1,0
10325,1,0,0,0,0,0,0,1,0,0,1,0
10326,1,0,1,0,0,0,0,0,0,0,1,0
10332,1,0,0,0,0,0,0,0,0,0,1,0
10336,1,1,0,0,0,0,0,0,0,0,1,0
10340,1,1,1,0,0,0,0,0,0,0,1,0
10348,1,0,0,0,0,0,0,0,0,0,1,0
10351,0,0,0,0,0,0,0,0,0,0,0,0
10362,1,0,0,0,0,0,0,0,0,0,0,0
10363,0,0,1,0,0,0,0,0,0,0,1,0
10366,1,0,1,0,0,0,0,0,0,0,1,0
10367,1,0,1,0,0,0,0,0,0,0,1,0
10368,1,0,0,0,0,0,0,0,0,1,1,0
10371,1,0,1,0,0,0,0,0,1,0,1,0
10372,1,0,1,0,0,0,0,0,0,0,1,0
10375,0,0,0,0,0,0,0,0,0,0,0,0
10378,0,0,0,0,0,0,0,0,0,0,1,0
10381,0,0,0,0,0,0,0,0,0,0,0,0
10382,0,0,0,0,0,0,0,0,0,0,0,0
10385,1,0,0,0,0,0,0,0,0,0,0,0
10388,0,0,0,0,0,0,0,0,0,0,0,0
10389,1,0,0,0,1,0,0,0,0,0,1,0
10390,1,0,0,0,0,0,0,0,0,0,1,0
10393,1,1,0,0,0,0,0,0,1,0,1,0
10395,0,0,0,0,0,0,0,0,0,0,0,0
10396,0,0,0,0,0,0,0,0,0,0,1,0
10397,1,0,0,0,0,0,0,0,0,0,0,1
10401,1,0,1,0,0,0,0,0,0,0,1,1
10405,1,1,1,0,0,0,0,0,0,0,1,0
10406,0,0,0,0,0,0,0,0,0,0,0,0
10407,1,0,1,0,0,0,0,0,0,0,1,0
10411,0,0,0,0,0,0,0,0,0,0,0,0
10413,1,1,0,0,0,0,0,1,0,0,1,0
10415,1,0,1,0,0,0,0,0,0,0,1,0
10419,1,0,1,1,0,0,0,0,0,0,1,0
